,ticker,name,sector,sub-industry,price,pe,roa
0,MMM,3M,Industrials,Industrial Conglomerates,149.1699981689453,14.75,10.94
1,AOS,A. O. Smith,Industrials,Building Products,64.73999786376953,22.4,11.61
2,ABT,Abbott,Health Care,Health Care Equipment,119.63999938964844,30.37,7.74
3,ABBV,AbbVie,Health Care,Pharmaceuticals,154.99000549316406,24.03,
4,ABMD,Abiomed,Health Care,Health Care Equipment,295.8299865722656,101.69,11.46
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,310.79998779296875,31.32,12.46
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,78.61000061035156,23.32,8.98
7,ADM,ADM,Consumer Staples,Agricultural Products,92.18000030517578,19.24,3.55
8,ADBE,Adobe,Information Technology,Application Software,408.6700134277344,40.59,14.08
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,223.52000427246094,34.6,4.13
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,218.38999938964844,22.87,4.97
11,AES,AES,Utilities,Independent Power Producers & Energy Traders,22.489999771118164,,4.87
12,AFL,Aflac,Financials,Life & Health Insurance,63.369998931884766,9.92,2.16
13,A,Agilent Technologies,Health Care,Health Care Equipment,121.31999969482422,30.79,8.63
14,AIG,AIG,Financials,Property & Casualty Insurance,60.439998626708984,5.59,0.84
15,APD,Air Products,Materials,Industrial Gases,242.9199981689453,25.74,5.66
16,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,117.13999938964844,29.81,6.08
17,ALK,Alaska Air Group,Industrials,Airlines,56.54999923706055,15.0,-1.15
18,ALB,Albemarle,Materials,Specialty Chemicals,200.63999938964844,189.28,3.47
19,ARE,Alexandria,Real Estate,Office REITs,195.77999877929688,30.06,1.25
20,ALGN,Align,Health Care,Health Care Supplies,360.57000732421875,37.21,11.33
21,ALLE,Allegion,Industrials,Building Products,114.51000213623047,21.44,12.36
22,LNT,Alliant Energy,Utilities,Electric Utilities,63.119998931884766,24.91,2.71
23,ALL,Allstate,Financials,Property & Casualty Insurance,132.07000732421875,26.59,3.88
24,GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,2392.7099609375,23.05,14.01
25,GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,2392.280029296875,23.05,14.01
26,MO,Altria,Consumer Staples,Tobacco,55.529998779296875,37.17,17.23
27,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2887.0,56.5,5.32
28,AMCR,Amcor,Materials,Paper Packaging,11.579999923706055,19.08,5.45
29,AMD,AMD,Information Technology,Semiconductors,88.13999938964844,27.19,21.33
30,AEE,Ameren,Utilities,Multi-Utilities,96.87999725341797,25.23,2.84
31,AAL,American Airlines Group,Industrials,Airlines,20.18000030517578,,-5.04
32,AEP,American Electric Power,Utilities,Electric Utilities,100.25,20.21,2.59
33,AXP,American Express,Financials,Consumer Finance,180.5399932861328,18.86,4.19
34,AMT,American Tower,Real Estate,Specialized REITs,261.8999938964844,47.56,4.35
35,AWK,American Water,Utilities,Water Utilities,164.1999969482422,39.11,3.13
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,280.0799865722656,15.23,1.53
37,ABC,AmerisourceBergen,Health Care,Health Care Distributors,159.0,20.62,3.29
38,AME,Ametek,Industrials,Electrical Components & Equipment,127.16999816894531,31.87,6.91
39,AMGN,Amgen,Health Care,Biotechnology,250.35000610351562,25.81,8.7
40,APH,Amphenol,Information Technology,Electronic Components,69.44000244140625,29.18,10.04
41,ADI,Analog Devices,Information Technology,Semiconductors,155.25,53.37,3.0
42,ANSS,Ansys,Information Technology,Application Software,276.5199890136719,52.0,6.25
43,ANTM,Anthem,Health Care,Managed Health Care,502.6300048828125,22.61,5.37
44,AON,Aon,Financials,Insurance Brokers,321.6400146484375,80.15,3.91
45,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,40.709999084472656,,14.23
46,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",161.7899932861328,26.9,20.18
47,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,112.80000305175781,17.62,18.83
48,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,106.4800033569336,36.21,4.25
49,ANET,Arista,Information Technology,Communications Equipment,117.69999694824219,47.79,10.86
50,AIZ,Assurant,Financials,Multi-line Insurance,186.57000732421875,8.17,1.64
51,T,AT&T,Communication Services,Integrated Telecommunication Services,19.520000457763672,151.32,3.72
52,ATO,Atmos Energy,Utilities,Gas Utilities,118.69999694824219,23.18,3.17
53,ADSK,Autodesk,Information Technology,Application Software,187.30999755859375,83.62,5.96
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,2160.27001953125,21.06,13.46
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,250.85000610351562,34.67,1.98
56,AVY,Avery Dennison,Materials,Paper Packaging,167.4199981689453,18.8,9.97
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,32.20000076293945,178.89,3.03
58,BLL,Ball,Materials,Metal & Glass Containers,86.44999694824219,35.61,4.61
59,BAC,Bank of America,Financials,Diversified Banks,37.560001373291016,11.25,1.07
60,BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,53.40999984741211,9.3,17.04
61,BAX,Baxter,Health Care,Health Care Equipment,73.08000183105469,30.76,6.21
62,BDX,Becton Dickinson,Health Care,Health Care Equipment,255.0399932861328,37.23,3.9
63,WRB,Berkley,Financials,Property & Casualty Insurance,67.97000122070312,12.21,
64,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,335.55999755859375,0.01,7.94
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,91.27999877929688,8.83,10.16
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,534.2899780273438,2.42,2.43
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,402.989990234375,92.92,7.82
68,BIIB,Biogen,Health Care,Biotechnology,209.99000549316406,20.55,6.55
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,662.9400024414062,17.63,2.73
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,44.209999084472656,11.26,0.82
71,BA,Boeing,Industrials,Aerospace & Defense,176.9199981689453,,-0.22
