,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,AAP,Advance Auto Parts Inc,2022-05-31T12:30:00.000Z,BMO,3.58,,,EDT,-14400000,EQUITY
1,AAP,"Advance Auto Parts, Inc.",2022-02-14T16:45:00.000Z,TAS,1.97,2.07,5.08,EST,-18000000,EQUITY
2,AAP,"Advance Auto Parts, Inc.",2021-11-15T16:30:00.000Z,TAS,2.87,3.21,11.77,EST,-18000000,EQUITY
3,AAP,"Advance Auto Parts, Inc.",2021-08-24T06:30:00.000Z,TAS,3.04,3.4,11.73,EDT,-14400000,EQUITY
4,AAP,"Advance Auto Parts, Inc.",2021-06-02T06:30:00.000Z,TAS,3.08,3.34,8.3,EDT,-14400000,EQUITY
5,AAP,"Advance Auto Parts, Inc.",2021-02-16T06:30:00.000Z,TAS,1.97,1.87,-4.98,EST,-18000000,EQUITY
6,AAP,"Advance Auto Parts, Inc.",2020-11-10T06:30:00.000Z,TAS,2.66,2.81,5.64,EST,-18000000,EQUITY
7,AAP,"Advance Auto Parts, Inc.",2020-08-18T06:30:00.000Z,TAS,1.98,2.92,47.25,EDT,-14400000,EQUITY
8,AAP,"Advance Auto Parts, Inc.",2020-05-19T06:30:00.000Z,TAS,1.73,0.91,-47.43,EDT,-14400000,EQUITY
9,AAP,"Advance Auto Parts, Inc.",2020-02-18T06:30:00.000Z,TAS,1.35,1.64,21.66,EST,-18000000,EQUITY
10,AAP,"Advance Auto Parts, Inc.",2019-11-12T06:30:00.000Z,TAS,2.05,2.1,2.34,EST,-18000000,EQUITY
11,AAP,"Advance Auto Parts, Inc.",2019-08-13T06:30:00.000Z,TAS,2.21,2.0,-9.34,EDT,-14400000,EQUITY
12,AAP,"Advance Auto Parts, Inc.",2019-05-22T06:30:00.000Z,TAS,2.35,2.46,4.68,EDT,-14400000,EQUITY
13,AAP,"Advance Auto Parts, Inc.",2019-02-19T06:30:00.000Z,TAS,1.13,1.17,3.45,EST,-18000000,EQUITY
14,AAP,"Advance Auto Parts, Inc.",2018-11-13T06:30:00.000Z,TAS,1.75,1.89,7.94,EST,-18000000,EQUITY
15,AAP,"Advance Auto Parts, Inc.",2018-08-14T06:30:00.000Z,TAS,1.86,1.97,6.03,EDT,-14400000,EQUITY
16,AAP,"Advance Auto Parts, Inc.",2018-05-22T06:30:00.000Z,TAS,1.97,2.1,6.65,EDT,-14400000,EQUITY
17,AAP,"Advance Auto Parts, Inc.",2018-02-21T06:56:00.000Z,TAS,0.63,0.77,22.03,EST,-18000000,EQUITY
18,AAP,"Advance Auto Parts, Inc.",2017-11-14T06:30:00.000Z,TAS,1.21,1.43,18.48,EST,-18000000,EQUITY
19,AAP,"Advance Auto Parts, Inc.",2017-08-15T06:30:00.000Z,TAS,1.65,1.58,-4.24,EDT,-14400000,EQUITY
20,AAP,"Advance Auto Parts, Inc.",2017-05-24T06:30:00.000Z,TAS,2.17,1.6,-26.3,EDT,-14400000,EQUITY
21,AAP,"Advance Auto Parts, Inc.",2017-02-21T06:30:00.000Z,TAS,1.09,1.0,-7.92,EST,-18000000,EQUITY
22,AAP,"Advance Auto Parts, Inc.",2016-11-14T16:15:00.000Z,TAS,1.71,1.73,1.47,EST,-18000000,EQUITY
23,AAP,"Advance Auto Parts, Inc.",2016-08-16T06:30:00.000Z,TAS,2.12,1.9,-10.29,EDT,-14400000,EQUITY
24,AAP,"Advance Auto Parts, Inc.",2016-05-19T06:30:00.000Z,TAS,2.6,2.51,-3.31,EDT,-14400000,EQUITY
25,AAP,"Advance Auto Parts, Inc.",2016-02-11T06:30:00.000Z,TAS,1.2,1.22,1.41,EST,-18000000,EQUITY
26,AAP,"Advance Auto Parts, Inc.",2015-11-12T06:45:00.000Z,TAS,2.09,1.95,-6.52,EST,-18000000,EQUITY
27,AAP,"Advance Auto Parts, Inc.",2015-08-13T08:30:00.000Z,TAS,2.25,2.27,1.02,EDT,-14400000,EQUITY
28,AAP,"Advance Auto Parts, Inc.",2015-05-21T08:30:00.000Z,TAS,2.48,2.39,-3.78,EDT,-14400000,EQUITY
29,AAP,"Advance Auto Parts, Inc.",2015-02-12T08:30:00.000Z,TAS,1.48,1.54,4.34,EST,-18000000,EQUITY
30,AAP,"Advance Auto Parts, Inc.",2014-11-06T08:30:00.000Z,TAS,1.88,1.89,0.8,EST,-18000000,EQUITY
31,AAP,"Advance Auto Parts, Inc.",2014-08-14T08:30:00.000Z,TAS,2.01,2.08,3.43,EDT,-14400000,EQUITY
32,AAP,"Advance Auto Parts, Inc.",2014-05-15T04:00:00.000Z,TAS,2.16,2.25,4.21,EDT,-14400000,EQUITY
33,AAP,"Advance Auto Parts, Inc.",2014-02-06T05:00:00.000Z,TAS,0.79,0.67,-14.69,EST,-18000000,EQUITY
34,AAP,"Advance Auto Parts, Inc.",2013-10-31T04:00:00.000Z,TAS,1.4,1.42,1.35,EDT,-14400000,EQUITY
35,AAP,"Advance Auto Parts, Inc.",2013-08-08T04:00:00.000Z,TAS,1.48,1.59,7.25,EDT,-14400000,EQUITY
36,AAP,"Advance Auto Parts, Inc.",2013-05-23T04:00:00.000Z,TAS,1.62,1.65,1.92,EDT,-14400000,EQUITY
37,AAP,"Advance Auto Parts, Inc.",2013-02-07T05:00:00.000Z,TAS,0.75,0.88,17.1,EST,-18000000,EQUITY
38,AAP,"Advance Auto Parts, Inc.",2012-11-08T05:00:00.000Z,TAS,1.21,1.21,-0.04,EST,-18000000,EQUITY
39,AAP,"Advance Auto Parts, Inc.",2012-08-09T04:00:00.000Z,TAS,1.39,1.34,-3.87,EDT,-14400000,EQUITY
40,AAP,"Advance Auto Parts, Inc.",2012-05-17T04:00:00.000Z,TAS,1.81,1.79,-0.96,EDT,-14400000,EQUITY
41,AAP,"Advance Auto Parts, Inc.",2012-02-16T05:00:00.000Z,TAS,0.75,0.9,20.81,EST,-18000000,EQUITY
42,AAP,"Advance Auto Parts, Inc.",2011-11-09T05:00:00.000Z,TAS,1.18,1.41,19.4,EST,-18000000,EQUITY
43,AAP,"Advance Auto Parts, Inc.",2011-08-10T04:00:00.000Z,TAS,1.38,1.46,5.84,EDT,-14400000,EQUITY
44,AAP,"Advance Auto Parts, Inc.",2011-05-18T04:00:00.000Z,TAS,1.38,1.35,-2.17,EDT,-14400000,EQUITY
45,AAP,"Advance Auto Parts, Inc.",2011-02-09T05:00:00.000Z,TAS,0.54,0.57,5.09,EST,-18000000,EQUITY
46,AAP,"Advance Auto Parts, Inc.",2010-11-10T05:00:00.000Z,TAS,0.93,1.03,11.23,EST,-18000000,EQUITY
47,AAP,"Advance Auto Parts, Inc.",2010-08-11T04:00:00.000Z,TAS,1.03,1.16,12.87,EDT,-14400000,EQUITY
48,AAP,"Advance Auto Parts, Inc.",2010-05-19T04:00:00.000Z,TAS,1.0,1.19,18.94,EDT,-14400000,EQUITY
49,AAP,"Advance Auto Parts, Inc.",2010-02-17T05:00:00.000Z,TAS,0.46,0.39,-14.66,EST,-18000000,EQUITY
50,AAP,"Advance Auto Parts, Inc.",2009-11-11T05:00:00.000Z,TAS,0.66,0.69,4.62,EST,-18000000,EQUITY
