,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,ABT,Abbott Laboratories,2022-07-20T12:30:00.000Z,BMO,1.12,,,EDT,-14400000,EQUITY
1,ABT,Abbott Laboratories,2022-04-20T07:30:00.000Z,TAS,1.47,1.73,18.09,EDT,-14400000,EQUITY
2,ABT,Abbott Laboratories,2022-01-26T07:30:00.000Z,TAS,1.21,1.32,9.45,EST,-18000000,EQUITY
3,ABT,Abbott Laboratories,2021-10-20T07:30:00.000Z,TAS,0.95,1.4,48.15,EDT,-14400000,EQUITY
4,ABT,Abbott Laboratories,2021-07-22T07:15:00.000Z,TAS,1.02,1.17,14.93,EDT,-14400000,EQUITY
5,ABT,Abbott Laboratories,2021-04-20T07:30:00.000Z,TAS,1.27,1.32,3.61,EDT,-14400000,EQUITY
6,ABT,Abbott Laboratories,2021-01-27T07:30:00.000Z,TAS,1.35,1.45,7.17,EST,-18000000,EQUITY
7,ABT,Abbott Laboratories,2020-10-21T07:30:00.000Z,TAS,0.91,0.98,7.93,EDT,-14400000,EQUITY
8,ABT,Abbott Laboratories,2020-07-16T07:31:00.000Z,TAS,0.42,0.57,34.43,EDT,-14400000,EQUITY
9,ABT,Abbott Laboratories,2020-04-16T07:30:00.000Z,TAS,0.58,0.65,11.68,EDT,-14400000,EQUITY
10,ABT,Abbott Laboratories,2020-01-22T07:30:00.000Z,TAS,0.95,0.95,0.42,EST,-18000000,EQUITY
11,ABT,Abbott Laboratories,2019-10-16T07:30:00.000Z,TAS,0.84,0.84,-0.12,EDT,-14400000,EQUITY
12,ABT,Abbott Laboratories,2019-07-17T07:32:00.000Z,TAS,0.8,0.82,2.24,EDT,-14400000,EQUITY
13,ABT,Abbott Laboratories,2019-04-17T07:45:00.000Z,TAS,0.61,0.63,2.77,EDT,-14400000,EQUITY
14,ABT,Abbott Laboratories,2019-01-23T07:45:00.000Z,TAS,0.81,0.81,0.0,EST,-18000000,EQUITY
15,ABT,Abbott Laboratories,2018-10-17T07:45:00.000Z,TAS,0.75,0.75,0.54,EDT,-14400000,EQUITY
16,ABT,Abbott Laboratories,2018-07-18T07:45:00.000Z,TAS,0.71,0.73,2.82,EDT,-14400000,EQUITY
17,ABT,Abbott Laboratories,2018-04-18T07:45:00.000Z,TAS,0.58,0.59,1.72,EDT,-14400000,EQUITY
18,ABT,Abbott Laboratories,2018-01-24T07:45:00.000Z,TAS,0.73,0.74,1.09,EST,-18000000,EQUITY
19,ABT,Abbott Laboratories,2017-10-18T07:45:00.000Z,TAS,0.65,0.66,1.07,EDT,-14400000,EQUITY
20,ABT,Abbott Laboratories,2017-07-20T07:45:00.000Z,TAS,0.61,0.62,2.48,EDT,-14400000,EQUITY
21,ABT,Abbott Laboratories,2017-04-19T07:45:00.000Z,TAS,0.43,0.48,11.63,EDT,-14400000,EQUITY
22,ABT,Abbott Laboratories,2017-01-25T07:45:00.000Z,TAS,0.65,0.65,0.62,EST,-18000000,EQUITY
23,ABT,Abbott Laboratories,2016-10-19T07:45:00.000Z,TAS,0.58,0.59,1.55,EDT,-14400000,EQUITY
24,ABT,Abbott Laboratories,2016-07-20T07:45:00.000Z,TAS,0.53,0.55,3.19,EDT,-14400000,EQUITY
25,ABT,Abbott Laboratories,2016-04-20T07:45:00.000Z,TAS,0.39,0.41,4.59,EDT,-14400000,EQUITY
26,ABT,Abbott Laboratories,2016-01-28T07:31:00.000Z,TAS,0.61,0.62,1.64,EST,-18000000,EQUITY
27,ABT,Abbott Laboratories,2015-10-21T07:45:00.000Z,TAS,0.53,0.54,1.12,EDT,-14400000,EQUITY
28,ABT,Abbott Laboratories,2015-07-22T07:45:00.000Z,TAS,0.5,0.52,3.38,EDT,-14400000,EQUITY
29,ABT,Abbott Laboratories,2015-04-22T07:45:00.000Z,TAS,0.42,0.47,12.44,EDT,-14400000,EQUITY
30,ABT,Abbott Laboratories,2015-01-29T07:45:00.000Z,TAS,0.68,0.71,3.95,EST,-18000000,EQUITY
31,ABT,Abbott Laboratories,2014-10-22T07:31:00.000Z,TAS,0.59,0.62,4.73,EDT,-14400000,EQUITY
32,ABT,Abbott Laboratories,2014-07-16T04:00:00.000Z,TAS,0.51,0.54,6.68,EDT,-14400000,EQUITY
33,ABT,Abbott Laboratories,2014-04-16T04:00:00.000Z,TAS,0.36,0.41,15.07,EDT,-14400000,EQUITY
34,ABT,Abbott Laboratories,2014-01-22T05:00:00.000Z,TAS,0.58,0.58,-0.34,EST,-18000000,EQUITY
35,ABT,Abbott Laboratories,2013-10-16T04:00:00.000Z,TAS,0.51,0.55,7.18,EDT,-14400000,EQUITY
36,ABT,Abbott Laboratories,2013-07-17T04:00:00.000Z,TAS,0.44,0.46,4.22,EDT,-14400000,EQUITY
37,ABT,Abbott Laboratories,2013-04-17T04:00:00.000Z,TAS,0.41,0.42,2.0,EDT,-14400000,EQUITY
38,ABT,Abbott Laboratories,2013-01-23T05:00:00.000Z,TAS,1.5,1.51,0.94,EST,-18000000,EQUITY
39,ABT,Abbott Laboratories,2012-10-17T04:00:00.000Z,TAS,1.28,1.3,1.38,EDT,-14400000,EQUITY
40,ABT,Abbott Laboratories,2012-07-18T04:00:00.000Z,TAS,1.22,1.23,1.08,EDT,-14400000,EQUITY
41,ABT,Abbott Laboratories,2012-04-18T04:00:00.000Z,TAS,1.0,1.03,3.23,EDT,-14400000,EQUITY
42,ABT,Abbott Laboratories,2012-01-25T05:00:00.000Z,TAS,1.44,1.45,0.97,EST,-18000000,EQUITY
43,ABT,Abbott Laboratories,2011-10-19T04:00:00.000Z,TAS,1.17,1.18,0.85,EDT,-14400000,EQUITY
44,ABT,Abbott Laboratories,2011-07-20T04:00:00.000Z,TAS,1.11,1.12,0.85,EDT,-14400000,EQUITY
45,ABT,Abbott Laboratories,2011-04-20T04:00:00.000Z,TAS,0.9,0.91,0.74,EDT,-14400000,EQUITY
46,ABT,Abbott Laboratories,2011-01-26T05:00:00.000Z,TAS,1.29,1.3,0.78,EST,-18000000,EQUITY
47,ABT,Abbott Laboratories,2010-10-20T04:00:00.000Z,TAS,1.04,1.05,0.79,EDT,-14400000,EQUITY
48,ABT,Abbott Laboratories,2010-07-21T04:00:00.000Z,TAS,1.0,1.01,1.32,EDT,-14400000,EQUITY
49,ABT,Abbott Laboratories,2010-04-21T04:00:00.000Z,TAS,0.8,0.81,1.01,EDT,-14400000,EQUITY
50,ABT,Abbott Laboratories,2010-01-27T05:00:00.000Z,TAS,1.17,1.18,0.74,EST,-18000000,EQUITY
51,ABT,Abbott Laboratories,2009-10-14T04:00:00.000Z,TAS,0.9,0.92,2.63,EDT,-14400000,EQUITY
52,ABT,Abbott Laboratories,2009-07-15T04:00:00.000Z,TAS,0.89,0.89,0.38,EDT,-14400000,EQUITY
53,ABT,Abbott Laboratories,2009-04-15T04:00:00.000Z,TAS,0.7,0.73,3.67,EDT,-14400000,EQUITY
54,ABT,Abbott Laboratories,2009-01-21T05:00:00.000Z,TAS,1.06,1.06,-0.09,EST,-18000000,EQUITY
55,ABT,Abbott Laboratories,2008-10-15T04:00:00.000Z,TAS,0.77,0.79,2.03,EDT,-14400000,EQUITY
56,ABT,Abbott Laboratories,2008-07-16T04:00:00.000Z,TAS,0.79,0.84,6.85,EDT,-14400000,EQUITY
57,ABT,Abbott Laboratories,2008-04-16T04:00:00.000Z,TAS,0.62,0.63,1.36,EDT,-14400000,EQUITY
58,ABT,Abbott Laboratories,2008-01-23T05:00:00.000Z,TAS,0.92,0.93,1.26,EST,-18000000,EQUITY
59,ABT,Abbott Laboratories,2007-10-17T04:00:00.000Z,TAS,0.66,0.67,1.28,EDT,-14400000,EQUITY
