,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,0,0,0,0,0,0,0,0,0,0,AMZN,Amazon.com Inc,2022-04-28T20:00:00.000Z,AMC,8.48,,,EDT,-14400000,EQUITY
1,1,1,1,1,1,1,1,1,1,1,AMZN,"Amazon.com, Inc.",2022-02-03T16:03:00.000Z,TAS,3.57,27.75,677.31,EST,-18000000,EQUITY
2,2,2,2,2,2,2,2,2,2,2,AMZN,"Amazon.com, Inc.",2021-10-28T16:01:00.000Z,TAS,8.92,6.12,-31.38,EDT,-14400000,EQUITY
3,3,3,3,3,3,3,3,3,3,3,AMZN,"Amazon.com, Inc.",2021-07-29T16:01:00.000Z,TAS,12.3,15.12,22.91,EDT,-14400000,EQUITY
4,4,4,4,4,4,4,4,4,4,4,AMZN,"Amazon.com, Inc.",2021-04-29T16:11:00.000Z,TAS,9.54,15.79,65.48,EDT,-14400000,EQUITY
5,5,5,5,5,5,5,5,5,5,5,AMZN,"Amazon.com, Inc.",2021-02-02T16:03:00.000Z,TAS,7.23,14.09,94.86,EST,-18000000,EQUITY
6,6,6,6,6,6,6,6,6,6,6,AMZN,"Amazon.com, Inc.",2020-10-29T16:01:00.000Z,TAS,7.41,12.37,66.96,EDT,-14400000,EQUITY
7,7,7,7,7,7,7,7,7,7,7,AMZN,"Amazon.com, Inc.",2020-07-30T16:08:00.000Z,TAS,1.46,10.3,605.48,EDT,-14400000,EQUITY
8,8,8,8,8,8,8,8,8,8,8,AMZN,"Amazon.com, Inc.",2020-04-30T16:01:00.000Z,TAS,6.25,5.01,-19.83,EDT,-14400000,EQUITY
9,9,9,9,9,9,9,9,9,9,9,AMZN,"Amazon.com, Inc.",2020-01-30T16:01:00.000Z,TAS,4.03,6.47,60.63,EST,-18000000,EQUITY
10,10,10,10,10,10,10,10,10,10,10,AMZN,"Amazon.com, Inc.",2019-10-24T16:01:00.000Z,TAS,4.62,4.23,-8.42,EDT,-14400000,EQUITY
11,11,11,11,11,11,11,11,11,11,11,AMZN,"Amazon.com, Inc.",2019-07-25T16:01:00.000Z,TAS,5.57,5.22,-6.27,EDT,-14400000,EQUITY
12,12,12,12,12,12,12,12,12,12,12,AMZN,"Amazon.com, Inc.",2019-04-25T16:01:00.000Z,TAS,4.72,7.09,50.12,EDT,-14400000,EQUITY
13,13,13,13,13,13,13,13,13,13,13,AMZN,"Amazon.com, Inc.",2019-01-31T16:01:00.000Z,TAS,5.68,6.04,6.34,EST,-18000000,EQUITY
14,14,14,14,14,14,14,14,14,14,14,AMZN,"Amazon.com, Inc.",2018-10-25T16:01:00.000Z,TAS,3.14,5.75,83.0,EDT,-14400000,EQUITY
15,15,15,15,15,15,15,15,15,15,15,AMZN,"Amazon.com, Inc.",2018-07-26T16:01:00.000Z,TAS,2.54,5.07,99.84,EDT,-14400000,EQUITY
16,16,16,16,16,16,16,16,16,16,16,AMZN,"Amazon.com, Inc.",2018-04-26T16:01:00.000Z,TAS,1.26,3.27,159.73,EDT,-14400000,EQUITY
17,17,17,17,17,17,17,17,17,17,17,AMZN,"Amazon.com, Inc.",2018-02-01T16:04:00.000Z,TAS,1.84,2.16,17.33,EST,-18000000,EQUITY
18,18,18,18,18,18,18,18,18,18,18,AMZN,"Amazon.com, Inc.",2017-10-26T16:01:00.000Z,TAS,0.03,0.52,1633.33,EDT,-14400000,EQUITY
19,19,19,19,19,19,19,19,19,19,19,AMZN,"Amazon.com, Inc.",2017-07-27T16:01:00.000Z,TAS,1.42,0.4,-71.81,EDT,-14400000,EQUITY
20,20,20,20,20,20,20,20,20,20,20,AMZN,"Amazon.com, Inc.",2017-04-27T16:01:00.000Z,TAS,1.09,1.48,36.41,EDT,-14400000,EQUITY
21,21,21,21,21,21,21,21,21,21,21,AMZN,"Amazon.com, Inc.",2017-02-02T16:01:00.000Z,TAS,1.35,1.54,14.33,EST,-18000000,EQUITY
22,22,22,22,22,22,22,22,22,22,22,AMZN,"Amazon.com, Inc.",2016-10-27T16:02:00.000Z,TAS,0.78,0.52,-33.25,EDT,-14400000,EQUITY
23,23,23,23,23,23,23,23,23,23,23,AMZN,"Amazon.com, Inc.",2016-07-28T16:01:00.000Z,TAS,1.11,1.78,60.65,EDT,-14400000,EQUITY
24,24,24,24,24,24,24,24,24,24,24,AMZN,"Amazon.com, Inc.",2016-04-28T16:01:00.000Z,TAS,0.58,1.07,83.85,EDT,-14400000,EQUITY
25,25,25,25,25,25,25,25,25,25,25,AMZN,"Amazon.com, Inc.",2016-01-28T16:01:00.000Z,TAS,1.56,1.0,-36.06,EST,-18000000,EQUITY
26,26,26,26,26,26,26,26,26,26,26,AMZN,"Amazon.com, Inc.",2015-10-22T16:01:00.000Z,TAS,-0.14,0.17,225.0,EDT,-14400000,EQUITY
27,27,27,27,27,27,27,27,27,27,27,AMZN,"Amazon.com, Inc.",2015-07-23T16:09:00.000Z,TAS,-0.14,0.19,237.68,EDT,-14400000,EQUITY
28,28,28,28,28,28,28,28,28,28,28,AMZN,"Amazon.com, Inc.",2015-04-23T16:01:00.000Z,TAS,-0.12,-0.12,1.64,EDT,-14400000,EQUITY
29,29,29,29,29,29,29,29,29,29,29,AMZN,"Amazon.com, Inc.",2015-01-29T16:01:00.000Z,TAS,0.17,0.45,167.86,EST,-18000000,EQUITY
30,30,30,30,30,30,30,30,30,30,30,AMZN,"Amazon.com, Inc.",2014-10-23T16:01:00.000Z,TAS,-0.73,-0.95,-29.25,EDT,-14400000,EQUITY
31,31,31,31,31,31,31,31,31,31,31,AMZN,"Amazon.com, Inc.",2014-07-24T04:00:00.000Z,TAS,-0.15,-0.27,-85.48,EDT,-14400000,EQUITY
32,32,32,32,32,32,32,32,32,32,32,AMZN,"Amazon.com, Inc.",2014-04-24T04:00:00.000Z,TAS,0.23,0.23,0.85,EDT,-14400000,EQUITY
33,33,33,33,33,33,33,33,33,33,33,AMZN,"Amazon.com, Inc.",2014-01-30T05:00:00.000Z,TAS,0.66,0.51,-22.94,EST,-18000000,EQUITY
34,34,34,34,34,34,34,34,34,34,34,AMZN,"Amazon.com, Inc.",2013-10-24T04:00:00.000Z,TAS,-0.09,-0.09,-2.31,EDT,-14400000,EQUITY
35,35,35,35,35,35,35,35,35,35,35,AMZN,"Amazon.com, Inc.",2013-07-25T04:00:00.000Z,TAS,0.05,-0.02,-137.32,EDT,-14400000,EQUITY
36,36,36,36,36,36,36,36,36,36,36,AMZN,"Amazon.com, Inc.",2013-04-25T04:00:00.000Z,TAS,0.08,0.18,130.77,EDT,-14400000,EQUITY
37,37,37,37,37,37,37,37,37,37,37,AMZN,"Amazon.com, Inc.",2013-01-29T05:00:00.000Z,TAS,0.28,0.21,-24.6,EST,-18000000,EQUITY
38,38,38,38,38,38,38,38,38,38,38,AMZN,"Amazon.com, Inc.",2012-10-25T04:00:00.000Z,TAS,-0.08,-0.23,-191.32,EDT,-14400000,EQUITY
39,39,39,39,39,39,39,39,39,39,39,AMZN,"Amazon.com, Inc.",2012-07-26T04:00:00.000Z,TAS,0.02,0.16,555.2,EDT,-14400000,EQUITY
40,40,40,40,40,40,40,40,40,40,40,AMZN,"Amazon.com, Inc.",2012-04-26T04:00:00.000Z,TAS,0.07,0.28,293.2,EDT,-14400000,EQUITY
41,41,41,41,41,41,41,41,41,41,41,AMZN,"Amazon.com, Inc.",2012-01-31T05:00:00.000Z,TAS,0.17,0.38,126.88,EST,-18000000,EQUITY
42,42,42,42,42,42,42,42,42,42,42,AMZN,"Amazon.com, Inc.",2011-10-25T04:00:00.000Z,TAS,0.24,0.14,-42.69,EDT,-14400000,EQUITY
43,43,43,43,43,43,43,43,43,43,43,AMZN,"Amazon.com, Inc.",2011-07-26T04:00:00.000Z,TAS,0.35,0.41,17.28,EDT,-14400000,EQUITY
44,44,44,44,44,44,44,44,44,44,44,AMZN,"Amazon.com, Inc.",2011-04-26T04:00:00.000Z,TAS,0.61,0.44,-27.31,EDT,-14400000,EQUITY
45,45,45,45,45,45,45,45,45,45,45,AMZN,"Amazon.com, Inc.",2011-01-27T05:00:00.000Z,TAS,0.88,0.91,3.03,EST,-18000000,EQUITY
46,46,46,46,46,46,46,46,46,46,46,AMZN,"Amazon.com, Inc.",2010-10-21T04:00:00.000Z,TAS,0.48,0.51,7.29,EDT,-14400000,EQUITY
