,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,ATO,Atmos Energy Corp,2023-02-06T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
1,ATO,Atmos Energy Corp,2022-11-08T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
2,ATO,Atmos Energy Corp,2022-08-02T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
3,ATO,Atmos Energy Corp,2022-05-04T20:00:00.000Z,AMC,2.36,,,EDT,-14400000,EQUITY
4,ATO,Atmos Energy Corporation,2022-02-08T16:36:00.000Z,TAS,1.85,1.86,0.54,EST,-18000000,EQUITY
5,ATO,Atmos Energy Corporation,2021-11-10T16:36:00.000Z,TAS,0.34,0.37,7.87,EST,-18000000,EQUITY
6,ATO,Atmos Energy Corporation,2021-08-04T16:36:00.000Z,TAS,0.72,0.78,8.33,EDT,-14400000,EQUITY
7,ATO,Atmos Energy Corporation,2021-05-05T16:36:00.000Z,TAS,2.05,2.3,12.41,EDT,-14400000,EQUITY
8,ATO,Atmos Energy Corporation,2021-02-02T16:36:00.000Z,TAS,1.58,1.71,8.43,EST,-18000000,EQUITY
9,ATO,Atmos Energy Corporation,2020-11-11T16:36:00.000Z,TAS,0.51,0.53,3.11,EST,-18000000,EQUITY
10,ATO,Atmos Energy Corporation,2020-08-05T16:36:00.000Z,TAS,0.76,0.79,4.22,EDT,-14400000,EQUITY
11,ATO,Atmos Energy Corporation,2020-05-06T16:36:00.000Z,TAS,1.92,1.95,1.62,EDT,-14400000,EQUITY
12,ATO,Atmos Energy Corporation,2020-02-04T16:21:00.000Z,TAS,1.49,1.47,-1.08,EST,-18000000,EQUITY
13,ATO,Atmos Energy Corporation,2019-11-06T16:16:00.000Z,TAS,0.46,0.49,6.52,EST,-18000000,EQUITY
14,ATO,Atmos Energy Corporation,2019-08-07T16:22:00.000Z,TAS,0.68,0.68,0.0,EDT,-14400000,EQUITY
15,ATO,Atmos Energy Corporation,2019-05-07T17:13:00.000Z,TAS,1.69,1.82,7.95,EDT,-14400000,EQUITY
16,ATO,Atmos Energy Corporation,2019-02-05T17:06:00.000Z,TAS,1.33,1.38,3.99,EST,-18000000,EQUITY
17,ATO,Atmos Energy Corporation,2018-11-07T17:02:00.000Z,TAS,0.36,0.41,14.21,EST,-18000000,EQUITY
18,ATO,Atmos Energy Corporation,2018-08-08T21:11:00.000Z,TAS,0.67,0.64,-4.76,EDT,-14400000,EQUITY
19,ATO,Atmos Energy Corporation,2018-05-02T17:02:00.000Z,TAS,1.54,1.57,1.68,EDT,-14400000,EQUITY
20,ATO,Atmos Energy Corporation,2018-02-06T17:02:00.000Z,TAS,1.13,1.4,24.22,EST,-18000000,EQUITY
21,ATO,Atmos Energy Corporation,2017-11-08T17:01:00.000Z,TAS,0.34,0.34,-0.29,EST,-18000000,EQUITY
22,ATO,Atmos Energy Corporation,2017-08-02T17:00:00.000Z,TAS,0.66,0.67,1.21,EDT,-14400000,EQUITY
23,ATO,Atmos Energy Corporation,2017-05-03T17:00:00.000Z,TAS,1.42,1.52,6.82,EDT,-14400000,EQUITY
24,ATO,Atmos Energy Corporation,2017-02-07T17:00:00.000Z,TAS,1.04,1.08,3.65,EST,-18000000,EQUITY
25,ATO,Atmos Energy Corporation,2016-11-09T16:00:00.000Z,TAS,0.32,0.39,22.64,EST,-18000000,EQUITY
26,ATO,Atmos Energy Corporation,2016-08-03T17:00:00.000Z,TAS,0.59,0.67,12.98,EDT,-14400000,EQUITY
27,ATO,Atmos Energy Corporation,2016-05-04T17:04:00.000Z,TAS,1.4,1.4,-0.07,EDT,-14400000,EQUITY
28,ATO,Atmos Energy Corporation,2016-02-02T17:00:00.000Z,TAS,1.01,0.93,-8.19,EST,-18000000,EQUITY
29,ATO,Atmos Energy Corporation,2015-11-04T17:02:00.000Z,TAS,0.26,0.29,9.85,EST,-18000000,EQUITY
30,ATO,Atmos Energy Corporation,2015-08-05T17:01:00.000Z,TAS,0.49,0.54,10.88,EDT,-14400000,EQUITY
31,ATO,Atmos Energy Corporation,2015-05-06T17:01:00.000Z,TAS,1.33,1.36,2.49,EDT,-14400000,EQUITY
32,ATO,Atmos Energy Corporation,2015-02-03T17:01:00.000Z,TAS,0.87,0.91,4.6,EST,-18000000,EQUITY
33,ATO,Atmos Energy Corporation,2014-11-05T17:01:00.000Z,TAS,0.18,0.24,30.43,EST,-18000000,EQUITY
34,ATO,Atmos Energy Corporation,2014-08-06T04:00:00.000Z,TAS,0.45,0.45,0.0,EDT,-14400000,EQUITY
35,ATO,Atmos Energy Corporation,2014-05-07T04:00:00.000Z,TAS,1.25,1.37,9.98,EDT,-14400000,EQUITY
36,ATO,Atmos Energy Corporation,2014-02-04T05:00:00.000Z,TAS,0.86,0.88,2.33,EST,-18000000,EQUITY
37,ATO,Atmos Energy Corporation,2013-11-06T05:00:00.000Z,TAS,0.12,0.13,6.12,EST,-18000000,EQUITY
38,ATO,Atmos Energy Corporation,2013-08-06T04:00:00.000Z,TAS,0.37,0.42,14.85,EDT,-14400000,EQUITY
39,ATO,Atmos Energy Corporation,2013-05-01T04:00:00.000Z,TAS,1.31,1.25,-4.87,EDT,-14400000,EQUITY
40,ATO,Atmos Energy Corporation,2013-02-06T05:00:00.000Z,TAS,0.77,0.71,-7.99,EST,-18000000,EQUITY
41,ATO,Atmos Energy Corporation,2012-11-07T05:00:00.000Z,TAS,0.08,0.09,12.5,EST,-18000000,EQUITY
42,ATO,Atmos Energy Corporation,2012-08-08T04:00:00.000Z,TAS,0.16,0.31,98.72,EDT,-14400000,EQUITY
43,ATO,Atmos Energy Corporation,2012-05-02T04:00:00.000Z,TAS,1.43,1.28,-10.38,EDT,-14400000,EQUITY
44,ATO,Atmos Energy Corporation,2012-02-07T05:00:00.000Z,TAS,0.85,0.61,-27.95,EST,-18000000,EQUITY
45,ATO,Atmos Energy Corporation,2011-11-09T05:00:00.000Z,TAS,0.04,0.08,110.53,EST,-18000000,EQUITY
46,ATO,Atmos Energy Corporation,2011-08-03T04:00:00.000Z,TAS,0.1,0.04,-60.0,EDT,-14400000,EQUITY
47,ATO,Atmos Energy Corporation,2011-05-04T04:00:00.000Z,TAS,1.39,1.35,-2.96,EDT,-14400000,EQUITY
48,ATO,Atmos Energy Corporation,2011-02-08T05:00:00.000Z,TAS,0.86,0.81,-5.5,EST,-18000000,EQUITY
49,ATO,Atmos Energy Corporation,2010-11-03T04:00:00.000Z,TAS,-0.06,0.0,100.0,EDT,-14400000,EQUITY
50,ATO,Atmos Energy Corporation,2010-08-04T04:00:00.000Z,TAS,0.0,0.09,2300.0,EDT,-14400000,EQUITY
51,ATO,Atmos Energy Corporation,2010-05-05T04:00:00.000Z,TAS,1.45,1.44,-0.58,EDT,-14400000,EQUITY
