,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,0,0,0,0,0,0,0,0,0,0,0,0,MSFT,Microsoft Corp,2022-04-26T20:00:00.000Z,AMC,2.18,,,EDT,-14400000,EQUITY
1,1,1,1,1,1,1,1,1,1,1,1,1,MSFT,Microsoft Corporation,2022-01-25T16:04:00.000Z,TAS,2.31,2.48,7.27,EST,-18000000,EQUITY
2,2,2,2,2,2,2,2,2,2,2,2,2,MSFT,Microsoft Corporation,2021-10-26T16:05:00.000Z,TAS,2.08,2.27,9.4,EDT,-14400000,EQUITY
3,3,3,3,3,3,3,3,3,3,3,3,3,MSFT,Microsoft Corporation,2021-07-27T16:02:00.000Z,TAS,1.92,2.17,13.26,EDT,-14400000,EQUITY
4,4,4,4,4,4,4,4,4,4,4,4,4,MSFT,Microsoft Corporation,2021-04-27T16:03:00.000Z,TAS,1.78,2.03,14.11,EDT,-14400000,EQUITY
5,5,5,5,5,5,5,5,5,5,5,5,5,MSFT,Microsoft Corporation,2021-01-26T16:04:00.000Z,TAS,1.64,2.03,23.63,EST,-18000000,EQUITY
6,6,6,6,6,6,6,6,6,6,6,6,6,MSFT,Microsoft Corporation,2020-10-27T16:13:00.000Z,TAS,1.54,1.82,17.88,EDT,-14400000,EQUITY
7,7,7,7,7,7,7,7,7,7,7,7,7,MSFT,Microsoft Corporation,2020-07-22T16:03:00.000Z,TAS,1.34,1.46,8.71,EDT,-14400000,EQUITY
8,8,8,8,8,8,8,8,8,8,8,8,8,MSFT,Microsoft Corporation,2020-04-29T16:03:00.000Z,TAS,1.26,1.4,10.67,EDT,-14400000,EQUITY
9,9,9,9,9,9,9,9,9,9,9,9,9,MSFT,Microsoft Corporation,2020-01-29T16:05:00.000Z,TAS,1.32,1.51,14.48,EST,-18000000,EQUITY
