,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,0,0,0,0,TSLA,Tesla Inc,2022-04-20T16:09:00.000Z,TAS,2.26,,,EDT,-14400000,EQUITY
1,1,1,1,1,TSLA,"Tesla, Inc.",2022-01-26T16:07:00.000Z,TAS,2.37,2.54,7.13,EST,-18000000,EQUITY
2,2,2,2,2,TSLA,"Tesla, Inc.",2021-10-20T16:08:00.000Z,TAS,1.59,1.86,16.69,EDT,-14400000,EQUITY
3,3,3,3,3,TSLA,"Tesla, Inc.",2021-07-26T16:07:00.000Z,TAS,0.98,1.45,47.66,EDT,-14400000,EQUITY
4,4,4,4,4,TSLA,"Tesla, Inc.",2021-04-26T16:00:00.000Z,TAS,0.79,0.93,17.72,EDT,-14400000,EQUITY
5,5,5,5,5,TSLA,"Tesla, Inc.",2021-01-27T16:08:00.000Z,TAS,1.03,0.8,-22.48,EST,-18000000,EQUITY
6,6,6,6,6,TSLA,"Tesla, Inc.",2020-10-21T16:07:00.000Z,TAS,0.58,0.76,30.81,EDT,-14400000,EQUITY
7,7,7,7,7,TSLA,"Tesla, Inc.",2020-07-22T16:23:00.000Z,TAS,-0.04,0.44,1278.38,EDT,-14400000,EQUITY
8,8,8,8,8,TSLA,"Tesla, Inc.",2020-04-29T16:12:00.000Z,TAS,-0.06,0.23,456.25,EDT,-14400000,EQUITY
9,9,9,9,9,TSLA,"Tesla, Inc.",2020-01-29T16:17:00.000Z,TAS,0.35,0.41,19.42,EST,-18000000,EQUITY
10,10,10,10,10,TSLA,"Tesla, Inc.",2019-10-23T16:54:00.000Z,TAS,-0.08,0.37,542.86,EDT,-14400000,EQUITY
11,11,11,11,11,TSLA,"Tesla, Inc.",2019-07-24T16:48:00.000Z,TAS,-0.07,-0.22,-215.49,EDT,-14400000,EQUITY
12,12,12,12,12,TSLA,"Tesla, Inc.",2019-04-24T17:17:00.000Z,TAS,-0.14,-0.58,-323.36,EDT,-14400000,EQUITY
13,13,13,13,13,TSLA,"Tesla, Inc.",2019-01-30T16:13:00.000Z,TAS,0.44,0.39,-12.27,EST,-18000000,EQUITY
14,14,14,14,14,TSLA,"Tesla, Inc.",2018-10-24T16:23:00.000Z,TAS,-0.04,0.58,1587.18,EDT,-14400000,EQUITY
15,15,15,15,15,TSLA,"Tesla, Inc.",2018-08-01T16:06:00.000Z,TAS,-2.92,-3.06,-4.69,EDT,-14400000,EQUITY
16,16,16,16,16,TSLA,"Tesla, Inc.",2018-05-02T16:13:00.000Z,TAS,-3.58,-3.35,6.48,EDT,-14400000,EQUITY
17,17,17,17,17,TSLA,"Tesla, Inc.",2018-02-07T16:13:00.000Z,TAS,-3.09,-3.04,1.68,EST,-18000000,EQUITY
18,18,18,18,18,TSLA,"Tesla, Inc.",2017-11-01T16:16:00.000Z,TAS,-2.2,-2.92,-32.49,EDT,-14400000,EQUITY
19,19,19,19,19,TSLA,"Tesla, Inc.",2017-08-02T16:13:00.000Z,TAS,-1.82,-1.33,27.04,EDT,-14400000,EQUITY
20,20,20,20,20,TSLA,"Tesla, Inc.",2017-05-03T16:05:00.000Z,TAS,-0.81,-1.33,-63.79,EDT,-14400000,EQUITY
21,21,21,21,21,TSLA,"Tesla, Inc.",2017-02-22T14:41:00.000Z,TAS,-0.43,-0.69,-60.84,EST,-18000000,EQUITY
